utc,elapsed_s,role,frame,p50,p99,p999,max,clipped_pct,r_pct,g_pct,b_pct,black_pct
2026-09-17T22:46:36Z,1445,cam1,002926.raw,38,255,255,255,1.12,0.12,1.31,1.73,0.00
2026-09-17T22:47:36Z,1506,cam0,003047.raw,43,211,255,255,0.41,0.05,0.61,0.38,0.00
2026-09-17T22:47:36Z,1506,cam1,003047.raw,49,219,255,255,0.67,0.40,0.85,0.59,0.00
2026-09-17T22:48:36Z,1566,cam0,003167.raw,40,192,255,255,0.25,0.02,0.35,0.26,0.00
2026-09-17T22:48:36Z,1566,cam1,003167.raw,45,255,255,255,1.36,0.85,1.56,1.46,0.00
2026-09-17T22:49:36Z,1626,cam0,003288.raw,39,190,255,255,0.27,0.02,0.38,0.31,0.00
2026-09-17T22:49:36Z,1626,cam1,003288.raw,45,255,255,255,1.40,0.44,1.71,1.73,0.00
2026-09-17T22:50:36Z,1686,cam0,003408.raw,43,226,255,255,0.63,0.08,0.93,0.60,0.00
2026-09-17T22:50:37Z,1686,cam1,003408.raw,46,238,255,255,0.86,0.46,1.08,0.83,0.00
2026-09-17T22:51:37Z,1747,cam0,003529.raw,41,248,255,255,0.90,0.06,1.19,1.16,0.00
2026-09-17T22:51:37Z,1747,cam1,003529.raw,44,255,255,255,1.34,0.43,1.62,1.69,0.00
2026-09-17T22:52:37Z,1807,cam0,003649.raw,40,202,255,255,0.30,0.03,0.44,0.30,0.00
2026-09-17T22:52:37Z,1807,cam1,003649.raw,48,218,255,255,0.69,0.40,0.84,0.67,0.00
2026-09-17T22:53:37Z,1867,cam0,003770.raw,40,242,255,255,0.86,0.15,1.11,1.07,0.00
2026-09-17T22:53:37Z,1867,cam1,003770.raw,45,255,255,255,1.52,0.60,1.83,1.84,0.00
2026-09-17T22:54:38Z,1928,cam0,003890.raw,43,241,255,255,0.81,0.13,1.16,0.81,0.00
2026-09-17T22:54:38Z,1928,cam1,003891.raw,50,255,255,255,1.28,0.62,1.58,1.35,0.00
2026-09-17T22:55:38Z,1988,cam0,004011.raw,42,224,255,255,0.59,0.07,0.87,0.55,0.00
2026-09-17T22:55:38Z,1988,cam1,004011.raw,47,220,255,255,0.76,0.45,0.95,0.67,0.00
2026-09-17T22:56:38Z,2048,cam0,004131.raw,44,255,255,255,1.05,0.32,1.38,1.10,0.00
2026-09-17T22:56:38Z,2048,cam1,004132.raw,49,255,255,255,1.84,0.97,2.18,2.01,0.00
2026-09-17T22:57:38Z,2108,cam0,004252.raw,42,225,255,255,0.59,0.06,0.85,0.57,0.00
2026-09-17T22:57:39Z,2108,cam1,004252.raw,49,255,255,255,1.30,0.66,1.58,1.38,0.00
2026-09-17T22:58:39Z,2169,cam0,004372.raw,42,236,255,255,0.75,0.12,1.04,0.78,0.00
2026-09-17T22:58:39Z,2169,cam1,004373.raw,49,255,255,255,2.05,0.81,2.52,2.37,0.00
2026-09-17T22:59:39Z,2229,cam0,004493.raw,40,217,255,255,0.50,0.06,0.73,0.47,0.00
2026-09-17T22:59:39Z,2229,cam1,004494.raw,45,213,255,255,0.65,0.41,0.81,0.56,0.00
2026-09-17T23:00:39Z,2289,cam0,004614.raw,41,213,255,255,0.46,0.05,0.68,0.42,0.00
2026-09-17T23:00:40Z,2289,cam1,004614.raw,47,230,255,255,0.81,0.46,1.01,0.77,0.00
2026-09-17T23:01:40Z,2350,cam0,004735.raw,41,211,255,255,0.43,0.05,0.64,0.40,0.00
2026-09-17T23:01:40Z,2350,cam1,004735.raw,46,213,255,255,0.68,0.42,0.85,0.60,0.00
2026-09-17T23:02:40Z,2410,cam0,004855.raw,41,255,255,255,1.43,0.51,1.77,1.65,0.00
2026-09-17T23:02:40Z,2410,cam1,004856.raw,48,255,255,255,3.06,1.54,3.56,3.57,0.00
2026-09-17T23:03:40Z,2470,cam0,004976.raw,40,208,255,255,0.39,0.05,0.58,0.36,0.00
2026-09-17T23:03:40Z,2470,cam1,004976.raw,45,210,255,255,0.61,0.39,0.76,0.53,0.00
2026-09-17T23:04:41Z,2531,cam0,005096.raw,41,219,255,255,0.48,0.05,0.70,0.49,0.00
2026-09-17T23:04:41Z,2531,cam1,005097.raw,46,224,255,255,0.75,0.40,0.93,0.75,0.00
2026-09-17T23:05:41Z,2591,cam0,005217.raw,40,206,255,255,0.38,0.04,0.57,0.34,0.00
2026-09-17T23:05:41Z,2591,cam1,005217.raw,46,212,255,255,0.66,0.40,0.83,0.60,0.00
2026-09-17T23:06:41Z,2651,cam0,005338.raw,40,228,255,255,0.66,0.16,0.90,0.68,0.00
2026-09-17T23:06:41Z,2651,cam1,005338.raw,46,248,255,255,0.96,0.54,1.17,0.94,0.00
2026-09-17T23:07:42Z,2712,cam0,005458.raw,39,224,255,255,0.59,0.13,0.82,0.61,0.00
2026-09-17T23:07:42Z,2712,cam1,005459.raw,47,255,255,255,1.88,0.86,2.27,2.11,0.00
2026-09-17T23:08:42Z,2772,cam0,005579.raw,38,218,255,255,0.51,0.07,0.73,0.53,0.00
2026-09-17T23:08:42Z,2772,cam1,005579.raw,44,255,255,255,1.16,0.60,1.41,1.20,0.00
2026-09-17T23:09:42Z,2832,cam0,005700.raw,39,212,255,255,0.39,0.04,0.56,0.38,0.00
2026-09-17T23:09:42Z,2832,cam1,005700.raw,47,255,255,255,1.46,0.78,1.75,1.57,0.00
2026-09-17T23:10:43Z,2892,cam0,005820.raw,40,243,255,255,0.87,0.36,1.10,0.91,0.00
2026-09-17T23:10:43Z,2892,cam1,005820.raw,45,255,255,255,1.10,0.73,1.29,1.08,0.00
2026-09-17T23:11:43Z,2953,cam0,005941.raw,39,255,255,255,1.72,0.82,2.07,1.90,0.00
2026-09-17T23:11:43Z,2953,cam1,005941.raw,47,255,255,255,2.98,1.57,3.48,3.39,0.00
2026-09-17T23:12:43Z,3013,cam0,006061.raw,40,232,255,255,0.68,0.16,0.91,0.74,0.00
2026-09-17T23:12:43Z,3013,cam1,006062.raw,49,255,255,255,1.79,0.84,2.15,2.02,0.00
2026-09-17T23:13:43Z,3073,cam0,006182.raw,39,207,255,255,0.35,0.04,0.51,0.35,0.00
2026-09-17T23:13:44Z,3073,cam1,006182.raw,47,217,255,255,0.69,0.37,0.86,0.68,0.00
2026-09-17T23:14:44Z,3134,cam0,006303.raw,39,210,255,255,0.44,0.07,0.62,0.45,0.00
2026-09-17T23:14:44Z,3134,cam1,006303.raw,47,230,255,255,0.80,0.43,0.99,0.80,0.00
2026-09-17T23:15:44Z,3194,cam0,006424.raw,38,194,255,255,0.27,0.03,0.40,0.25,0.00
2026-09-17T23:15:44Z,3194,cam1,006424.raw,45,209,255,255,0.61,0.37,0.76,0.56,0.00
2026-09-17T23:16:45Z,3254,cam0,006544.raw,38,201,255,255,0.32,0.03,0.47,0.31,0.00
2026-09-17T23:16:45Z,3254,cam1,006545.raw,44,215,255,255,0.68,0.38,0.84,0.66,0.00
2026-09-17T23:17:45Z,3315,cam0,006665.raw,37,196,255,255,0.29,0.03,0.43,0.28,0.00
2026-09-17T23:17:45Z,3315,cam1,006665.raw,43,208,255,255,0.61,0.36,0.76,0.56,0.00
2026-09-17T23:18:45Z,3375,cam0,006786.raw,38,228,255,255,0.69,0.20,0.91,0.77,0.00
2026-09-17T23:18:45Z,3375,cam1,006786.raw,46,255,255,255,1.65,0.88,1.97,1.80,0.00
2026-09-17T23:19:46Z,3436,cam0,006906.raw,38,215,255,255,0.43,0.04,0.59,0.49,0.00
2026-09-17T23:19:46Z,3436,cam1,006907.raw,48,255,255,255,1.86,0.85,2.24,2.13,0.00
2026-09-17T23:20:46Z,3496,cam0,007027.raw,37,198,255,255,0.31,0.03,0.45,0.33,0.00
2026-09-17T23:20:46Z,3496,cam1,007028.raw,43,220,255,255,0.70,0.37,0.86,0.71,0.00
2026-09-17T23:21:47Z,3556,cam0,007148.raw,37,203,255,255,0.35,0.03,0.50,0.37,0.00
2026-09-17T23:21:47Z,3556,cam1,007148.raw,45,238,255,255,0.84,0.38,1.04,0.90,0.00
2026-09-17T23:22:47Z,3617,cam0,007269.raw,36,193,255,255,0.26,0.03,0.38,0.25,0.00
2026-09-17T23:22:47Z,3617,cam1,007269.raw,43,212,255,255,0.69,0.40,0.85,0.67,0.00
2026-09-17T23:23:47Z,3677,cam0,007390.raw,37,202,255,255,0.34,0.02,0.48,0.38,0.00
2026-09-17T23:23:47Z,3677,cam1,007390.raw,43,229,255,255,0.79,0.37,0.97,0.83,0.00
